Date,Ticker,Name,Open,High,Low,Close,Volume,ForeignNetBuy,TrustNetBuy,DealerNetBuy,RetailVolume
2026-09-17,0050.TW,元大台灣50,107.9,109.2,107.85,108.05,49931752,8036956.0,1500000.0,6600027.0,33794769
2026-09-17,0051.TW,元大中型100,144.75,145.55,143.85,143.85,26976,0.0,0.0,-8161.0,18815
2026-09-17,0052.TW,富邦科技,62.55,63.4,62.55,62.7,11729608,-241266.0,11000.0,3424966.0,8052376
2026-09-17,0053.TW,元大電子,241.35,244.85,241.25,241.95,50722,1004.0,0.0,-20283.0,29435
2026-09-17,0055.TW,元大MSCI金融,50.6,51.15,50.05,50.85,1570608,-9955.0,0.0,-728336.0,832317
2026-09-17,0056.TW,元大高股息,55.95,56.55,55.95,56.3,26260542,6992780.0,1250000.0,5296737.0,12721025
2026-09-17,0057.TW,富邦摩台,326.05,326.05,324.1,324.1,40794,0.0,0.0,-14000.0,26794
2026-09-17,0061.TW,元大寶滬深,23.84,23.99,23.8,23.88,38630,29000.0,0.0,-6126.0,3504
2026-09-17,1101.TW,台泥,24.1,24.6,24.05,24.45,23063655,11739053.0,66000.0,290817.0,10967785
2026-09-17,1102.TW,亞泥,34.9,35.3,34.8,35.3,9655743,3359522.0,180000.0,5891.0,6110330
2026-09-17,1103.TW,嘉泥,13.05,13.1,13.0,13.05,253149,-135000.0,0.0,4000.0,114149
2026-09-17,1104.TW,環泥,26.65,26.85,26.6,26.8,249342,-36867.0,0.0,2874.0,209601
2026-09-17,1108.TW,幸福,11.0,11.1,11.0,11.05,511622,113000.0,0.0,3000.0,395622
2026-09-17,1109.TW,信大,13.4,13.45,13.35,13.4,91847,5000.0,0.0,732.0,86115
2026-09-17,1110.TW,東泥,15.45,15.5,15.35,15.5,360534,-18000.0,0.0,2000.0,340534
2026-09-17,1201.TW,味全,12.1,12.1,12.0,12.1,347806,33000.0,0.0,2000.0,312806
2026-09-17,1203.TW,味王,42.4,43.85,42.4,43.35,12909,2000.0,0.0,2000.0,8909
2026-09-17,1210.TW,大成,51.6,52.2,51.6,52.0,685412,228095.0,0.0,6000.0,451317
2026-09-17,1213.TW,大飲,8.05,8.08,7.09,7.09,28044,0.0,0.0,0.0,28044
2026-09-17,1215.TW,卜蜂,106.5,108.0,106.0,107.0,435883,62515.0,0.0,4530.0,368838
2026-09-17,1216.TW,統一,74.7,75.6,74.5,75.5,9416599,1953302.0,48000.0,-3221.0,7412076
2026-09-17,1217.TW,愛之味,9.98,10.0,9.94,10.0,410853,211000.0,0.0,2000.0,197853
