Date,Ticker,Name,Open,High,Low,Close,Volume,ForeignNetBuy,TrustNetBuy,DealerNetBuy,RetailVolume
2026-09-18,0050.TW,元大台灣50,109.6,109.95,108.85,109.85,86731065,-16340894.0,920000.0,26692603.0,42777568
2026-09-18,0051.TW,元大中型100,145.15,146.15,144.8,145.7,68992,1006.0,0.0,32925.0,35061
2026-09-18,0052.TW,富邦科技,63.55,63.85,63.2,63.8,16624775,169787.0,30000.0,8895387.0,7529601
2026-09-18,0053.TW,元大電子,244.15,246.8,244.15,246.8,91819,4002.0,0.0,6992.0,80825
2026-09-18,0055.TW,元大MSCI金融,51.4,51.4,49.45,50.15,1767396,-56151.0,0.0,-819742.0,891503
2026-09-18,0056.TW,元大高股息,57.0,57.1,56.35,56.85,19305390,-2863418.0,2490000.0,-2297592.0,11654380
2026-09-18,0057.TW,富邦摩台,325.85,327.15,323.65,325.65,44703,1.0,0.0,29000.0,15702
2026-09-18,0061.TW,元大寶滬深,23.99,24.13,23.89,24.13,81819,67000.0,0.0,-11232.0,3587
2026-09-18,1101.TW,台泥,24.5,24.55,24.15,24.35,22255754,-4088563.0,10000.0,1169950.0,16987241
2026-09-18,1102.TW,亞泥,35.3,35.35,34.9,35.15,10128633,-1632428.0,1485518.0,174203.0,6836484
2026-09-18,1103.TW,嘉泥,13.1,13.35,12.95,13.35,1614131,715000.0,0.0,12000.0,887131
2026-09-18,1104.TW,環泥,26.7,26.9,26.65,26.9,737190,-98000.0,0.0,26492.0,612698
2026-09-18,1108.TW,幸福,11.05,11.15,11.0,11.15,289776,111000.0,0.0,4000.0,174776
2026-09-18,1109.TW,信大,13.4,13.45,13.35,13.4,114471,21000.0,0.0,13000.0,80471
2026-09-18,1110.TW,東泥,15.5,15.55,15.35,15.5,148786,-10000.0,0.0,7000.0,131786
2026-09-18,1201.TW,味全,12.1,12.15,11.55,11.55,12430769,-7229898.0,0.0,1205000.0,3995871
2026-09-18,1203.TW,味王,43.45,46.85,42.5,45.95,26985,8000.0,0.0,2000.0,16985
2026-09-18,1210.TW,大成,52.2,52.8,52.0,52.7,1940702,986238.0,-153000.0,55311.0,746153
2026-09-18,1213.TW,大飲,7.11,7.4,7.11,7.4,3002,0.0,0.0,0.0,3002
2026-09-18,1215.TW,卜蜂,107.5,109.5,107.0,109.5,653950,208363.0,0.0,16073.0,429514
2026-09-18,1216.TW,統一,75.5,75.5,74.9,75.0,17030035,306570.0,-960975.0,310189.0,15452301
