Date,Ticker,Name,Open,High,Low,Close,Volume,ForeignNetBuy,TrustNetBuy,DealerNetBuy,RetailVolume
2026-09-15,0050.TW,元大台灣50,106.75,106.95,106.15,106.25,63373313,-38426153.0,0.0,5058489.0,19888671
2026-09-15,0051.TW,元大中型100,142.95,143.05,141.0,141.0,120538,-971.0,0.0,-60730.0,58837
2026-09-15,0052.TW,富邦科技,61.7,62.1,61.5,61.6,10671485,-4074788.0,30000.0,1774399.0,4792298
2026-09-15,0053.TW,元大電子,237.55,239.55,237.35,237.35,281948,-5925.0,0.0,-245826.0,30197
2026-09-15,0055.TW,元大MSCI金融,50.6,50.65,49.61,49.76,1206727,44090.0,0.0,-748666.0,413971
2026-09-15,0056.TW,元大高股息,55.2,55.25,54.85,55.0,25385973,-14399210.0,0.0,1483425.0,9503338
2026-09-15,0057.TW,富邦摩台,318.35,319.6,317.5,317.5,15926,0.0,0.0,-8000.0,7926
2026-09-15,0061.TW,元大寶滬深,23.77,23.99,23.77,23.91,64399,39000.0,0.0,-13226.0,12173
2026-09-15,1101.TW,台泥,24.0,24.05,23.8,23.8,20277886,-11863321.0,-201000.0,377641.0,7835924
2026-09-15,1102.TW,亞泥,34.95,35.2,34.8,35.2,5120946,710351.0,230952.0,-61196.0,4118447
2026-09-15,1103.TW,嘉泥,13.1,13.1,12.95,13.0,365933,-161000.0,0.0,8000.0,196933
2026-09-15,1104.TW,環泥,26.85,26.85,26.6,26.65,413954,-217418.0,32000.0,7000.0,157536
2026-09-15,1108.TW,幸福,11.0,11.1,11.0,11.05,123202,-14000.0,0.0,0.0,109202
2026-09-15,1109.TW,信大,13.4,13.45,13.35,13.45,52197,-19000.0,0.0,4000.0,29197
2026-09-15,1110.TW,東泥,15.65,15.65,15.4,15.4,523661,-76000.0,0.0,-21000.0,426661
2026-09-15,1201.TW,味全,12.0,12.05,11.95,12.05,357441,-131000.0,0.0,7000.0,219441
