Date,Ticker,Name,Open,High,Low,Close,Volume,ForeignNetBuy,TrustNetBuy,DealerNetBuy,RetailVolume
2026-09-21,1907.TW,永豐餘,29.25,29.35,28.85,28.9,633351,-369247.0,4000.0,21000.0,239104
2026-09-21,1909.TW,榮成,10.15,10.25,10.1,10.15,1316874,-488000.0,0.0,13000.0,815874
2026-09-21,2002.TW,中鋼,18.8,18.8,18.65,18.65,28536026,-19712424.0,14000.0,88166.0,8721436
2026-09-21,2006.TW,東和鋼鐵,86.9,87.2,85.0,85.5,1618283,-161520.0,1000.0,16396.0,1439367
2026-09-21,2007.TW,燁興,6.99,6.99,6.83,6.91,94590,20000.0,0.0,5000.0,69590
2026-09-21,2008.TW,高興昌,30.85,30.9,30.5,30.6,13780,1000.0,0.0,2000.0,10780
2026-09-21,2009.TW,第一銅,39.75,39.95,39.15,39.5,955791,255110.0,0.0,7243.0,693438
2026-09-21,2010.TW,春源,22.15,22.15,21.75,21.8,790708,75340.0,0.0,6620.0,708748
2026-09-21,2012.TW,春雨,14.05,14.2,14.0,14.2,157819,23000.0,0.0,3000.0,131819
2026-09-21,2013.TW,中鋼構,41.65,41.65,41.15,41.35,24787,3000.0,0.0,2000.0,19787
2026-09-21,2014.TW,中鴻,16.65,16.7,16.55,16.55,830007,-57080.0,0.0,16000.0,756927
2026-09-21,2015.TW,豐興,65.2,65.2,63.8,64.7,161695,-50981.0,0.0,7000.0,103714
2026-09-21,2017.TW,官田鋼,8.89,8.97,8.8,8.92,233888,-28178.0,0.0,40000.0,165710
2026-09-21,2020.TW,美亞,21.5,21.6,21.4,21.4,253900,-39000.0,0.0,3000.0,211900
2026-09-21,2022.TW,聚亨,7.22,7.22,7.13,7.13,224423,-40555.0,0.0,4000.0,179868
2026-09-21,2023.TW,燁輝,13.7,13.7,13.6,13.6,847867,-353375.0,3000.0,21000.0,470492
2026-09-21,2024.TW,志聯,12.85,12.95,12.85,12.95,6455,-1000.0,0.0,0.0,5455
2026-09-21,2025.TW,千興,12.4,12.4,12.25,12.4,221716,25146.0,0.0,2000.0,194570
2026-09-21,2027.TW,大成鋼,47.6,47.65,46.6,46.65,5906011,-1688399.0,-6000.0,-154121.0,4057491
2026-09-21,2028.TW,威致,15.6,15.95,15.55,15.95,130980,-69000.0,0.0,3000.0,58980
2026-09-21,2029.TW,盛餘,20.95,21.3,20.95,21.2,428143,62164.0,0.0,-45000.0,320979
2026-09-21,2030.TW,彰源,24.8,24.8,23.95,24.8,3483382,-1195849.0,0.0,-62000.0,2225533
2026-09-21,2031.TW,新光鋼,45.0,45.0,44.3,44.65,238936,-49142.0,0.0,-751.0,189043
2026-09-21,2032.TW,新鋼,17.05,17.05,16.8,17.0,153099,-20015.0,0.0,1999.0,131085
2026-09-21,2033.TW,佳大,33.05,35.25,32.0,33.95,4526603,24474.0,0.0,-2737.0,4499392
2026-09-21,2034.TW,允強,21.5,21.55,21.15,21.45,950186,147551.0,0.0,5567.0,797068
2026-09-21,2038.TW,海光,12.15,12.2,12.0,12.05,140962,9792.0,0.0,1000.0,130170
2026-09-21,2049.TW,上銀,339.0,339.0,332.5,334.0,1300568,66556.0,1000.0,3935.0,1229077
2026-09-21,2059.TW,川湖,13000.0,13050.0,12510.0,12800.0,542518,-114412.0,14005.0,-1916.0,412185
2026-09-21,2062.TW,橋椿,18.35,18.35,18.0,18.05,369068,42450.0,0.0,5999.0,320619
2026-09-21,2069.TW,運錩,24.5,24.5,23.7,24.2,648408,13289.0,0.0,-2000.0,633119
2026-09-21,2072.TW,世紀風電,133.0,133.0,129.0,129.0,224196,-63499.0,0.0,2000.0,158697
2026-09-21,2101.TW,南港,30.7,30.7,30.5,30.5,4264129,-126501.0,0.0,7765.0,4129863
2026-09-21,2102.TW,泰豐,17.3,17.3,17.0,17.05,1314741,-245000.0,0.0,5000.0,1064741
2026-09-21,2103.TW,台橡,27.9,27.95,27.4,27.8,1778319,-213946.0,0.0,-51422.0,1512951
2026-09-21,2104.TW,國際中橡,10.45,10.6,10.45,10.6,1297102,141891.0,0.0,11000.0,1144211
2026-09-21,2105.TW,正新,30.0,30.25,29.95,30.05,2281678,-592000.0,52000.0,51635.0,1586043
2026-09-21,2106.TW,建大,16.5,16.6,16.45,16.6,7345544,-133000.0,0.0,11000.0,7201544
2026-09-21,2107.TW,厚生,27.05,27.3,27.0,27.05,237491,-122751.0,0.0,2000.0,112740
2026-09-21,2108.TW,南帝,28.75,28.95,28.65,28.85,235753,-24001.0,0.0,6066.0,205686
2026-09-21,2109.TW,華豐,14.8,14.85,14.7,14.75,38425,-367.0,0.0,3000.0,35058
2026-09-21,2114.TW,鑫永銓,89.4,89.7,89.1,89.7,29365,-4000.0,0.0,1000.0,24365
2026-09-21,2115.TW,六暉-KY,23.7,24.0,23.65,23.85,37710,4000.0,0.0,1000.0,32710
2026-09-21,2201.TW,裕隆,29.7,29.95,29.2,29.25,4093458,-1773000.0,1000.0,56764.0,2262694
2026-09-21,2204.TW,中華,52.7,53.1,52.5,52.7,398998,-46000.0,59952.0,6696.0,286350
2026-09-21,2206.TW,三陽工業,64.1,64.1,63.3,63.8,411369,124495.0,3000.0,8000.0,275874
2026-09-21,2207.TW,和泰車,535.0,535.0,523.0,523.0,152604,-108409.0,5000.0,6696.0,32499
2026-09-21,2208.TW,台船,19.2,19.3,19.0,19.2,1615611,475713.0,0.0,13000.0,1126898
2026-09-21,2211.TW,長榮鋼,80.8,80.8,80.2,80.4,386203,-240000.0,0.0,4451.0,141752
2026-09-21,2227.TW,裕日車,46.0,46.0,45.25,45.4,49190,885.0,0.0,4000.0,44305
2026-09-21,2228.TW,劍麟,74.3,75.4,73.9,74.0,401050,118948.0,0.0,-14000.0,268102
2026-09-21,2231.TW,為升,91.8,93.4,91.1,93.3,177980,76303.0,0.0,3230.0,98447
2026-09-21,2233.TW,宇隆,162.0,163.5,160.5,160.5,219215,-16000.0,0.0,1792.0,201423
2026-09-21,2236.TW,百達-KY,115.0,115.0,109.0,109.0,592981,24365.0,0.0,24551.0,544065
2026-09-21,2237.TW,華德動能-創,27.15,27.25,27.1,27.1,59369,-14000.0,0.0,0.0,45369
2026-09-21,2239.TW,英利-KY,19.0,19.25,18.5,18.7,329073,25000.0,0.0,3787.0,300286
2026-09-21,2241.TW,艾姆勒,35.05,37.35,34.5,37.35,1533116,-216000.0,0.0,1645.0,1315471
2026-09-21,2243.TW,宏旭-KY,49.8,54.0,49.4,54.0,765164,121750.0,0.0,1141.0,642273
2026-09-21,2247.TW,汎德永業,230.0,231.5,229.5,231.5,29370,8111.0,5025.0,1000.0,15234
2026-09-21,2248.TW,華勝-KY,61.5,61.5,60.5,60.5,3040,0.0,0.0,0.0,3040
2026-09-21,2250.TW,IKKA-KY,56.9,57.3,56.3,56.8,28410,-17000.0,0.0,0.0,11410
2026-09-21,2254.TW,巨鎧精密-創,76.8,78.8,76.8,78.8,1483546,302000.0,0.0,978.0,1180568
2026-09-21,2258.TW,鴻華先進-創,31.5,31.5,31.0,31.35,254616,-120117.0,0.0,23439.0,111060
2026-09-21,2301.TW,光寶科,289.0,294.0,281.5,288.5,16254104,1657198.0,-162084.0,427910.0,14006912
2026-09-21,2302.TW,麗正,44.85,45.15,43.7,44.15,2658334,94741.0,0.0,1000.0,2562593
2026-09-21,2303.TW,聯電,156.5,159.0,153.0,157.0,158568199,-5725538.0,7900796.0,3606620.0,141335245
2026-09-21,2305.TW,全友,59.1,61.9,55.5,58.8,9399397,148728.0,0.0,-27465.0,9223204
2026-09-21,2308.TW,台達電,1750.0,1885.0,1740.0,1875.0,19102054,2274214.0,3392561.0,899725.0,12535554
2026-09-21,2312.TW,金寶,31.1,31.55,31.0,31.3,5842601,2526552.0,3000.0,124465.0,3188584
2026-09-21,2313.TW,華通,228.0,228.5,219.0,222.0,22722962,-8496526.0,-1032430.0,-178419.0,13015587
2026-09-21,2314.TW,台揚,10.65,11.5,10.65,11.5,210457,-1000.0,0.0,0.0,209457
2026-09-21,2316.TW,楠梓電,156.0,158.5,155.5,156.0,839410,-158950.0,0.0,12212.0,668248
2026-09-21,2317.TW,鴻海,251.5,252.0,249.0,250.0,16771284,-5703695.0,406651.0,-4330.0,10656608
2026-09-21,2321.TW,東訊,27.6,27.6,26.0,26.0,4626,0.0,0.0,0.0,4626
2026-09-21,2323.TW,中環,10.8,10.9,10.75,10.8,3610061,573898.0,0.0,64000.0,2972163
2026-09-21,2324.TW,仁寶,38.05,38.5,37.6,37.6,27563778,-9828289.0,-38573.0,-217409.0,17479507
2026-09-21,2327.TW,國巨*,556.0,579.0,556.0,557.0,27387944,1155616.0,687326.0,405292.0,25139710
2026-09-21,2328.TW,廣宇,46.8,48.15,46.2,47.75,3335413,1029360.0,0.0,142479.0,2163574
2026-09-21,2329.TW,華泰,44.5,44.9,44.0,44.0,3381474,-904000.0,0.0,17522.0,2459952
2026-09-21,2330.TW,台積電,2445.0,2485.0,2445.0,2480.0,16086510,2689504.0,734606.0,614602.0,12047798
2026-09-21,2331.TW,精英,19.05,19.45,18.8,19.4,1485484,714346.0,0.0,2000.0,769138
2026-09-21,2332.TW,友訊,19.5,20.6,19.5,20.55,16764492,-603425.0,0.0,86518.0,16074549
2026-09-21,2337.TW,旺宏,123.5,124.5,119.5,120.0,26114015,-3069476.0,-2000.0,-91880.0,22950659
2026-09-21,2338.TW,光罩,50.0,51.2,48.5,49.05,12226301,-862735.0,0.0,-246645.0,11116921
2026-09-21,2340.TW,台亞,34.4,34.7,34.0,34.5,2473700,224006.0,0.0,55019.0,2194675
2026-09-21,2342.TW,茂矽,41.15,41.75,40.45,41.0,2115154,69006.0,0.0,2014.0,2044134
